ID_AR,DOI,author,year,reader,database,type of study,pdf,country,locality,latitude,longitude,hemisphere,vegetation_type,pollinator,spp_nb,family_nb,indiv_nb,study_length,censusfreq,herbs,shrub,trees,grass,sampling_method,climate_variable,direct,individuals,floristic_survey,litter_traps,other_methods,flowering,flowers number,fruting,leaf_flush,leaf_fall,presence_absence,fournier,counts,biomass,classes,mismatch effect,pollinator emergence
53,10.1371/journal.pone.0075514,Chambers LE et al.,2013,Gabriela ,Scopus,Meta-analysis,OK,NA,Southern Hemisphere,Not informed,Not informed,Southern,"freshwater, marine, terrestrial","birds, mammals, arthropod, others", 347 species,>10,>10,all time series available (1208 long-term datasets from 89 studies),meta-analysis,not informed,not informed,not informed,not informed,sistematic review,recent climate changes,not informed,not informed,not informed,not informed,,X,not informed,X,not monitored,not monitored,not informed,not monitored,not monitored,not monitored,"phenological observation was classified as earlier, later or no change (trend not statistically significant)","Temperature was most frequently identified as the primary driver of phenological changes; however, in many studies it was the only climate variable considered. When precipitation was examined, it often played a key role but, in contrast with temperature, the direction of phenological shifts in response to precipitation variation was difficult to predict a priori. We",
54,10.1371/journal.pone.0191268,"Flo V,Bosch J,Arnan X,Primante C,Martín González AM,Barril-Graells H,Rodrigo A",2018,Gabriela ,Scopus,Case study,OK,Spain,Garraf Natural Park,Not informed,Not informed,Northern,mediteranean,Not informed,23 most abundant species,15,not informed,8 years (2006 to 2014 - except 2010 - March to June ),once a week,X,X,X,-,6 permanent 50 x 1 m transects forming a grid,-,X,X,X,-,nectar and pollen production,X,counted open flowers of entomophilous species,not monitored,not monitored,not monitored,not monitored,not monitored,flowers,not monitored,"flowering density, flowering duration and flowering peak","dramatic variation in yearly flower production especially pronounced late in the season, at a time when flowers are scarce and pollinator visitation rates are partic- ularly high",
55,10.1371/journal.pone.0218824,"Kehrberger S,Holzschuh A",2019,Gabriela ,WOS,Case study,OK,Germany,Wurzburg ,49˚ 48´ N,9˚ 56´ E,Northern,grasslands,bees (Osmia cornuta and Osmia bicornis),Pulsatilla vulgaris,Ranunculaceae,>50 ind per site,2 years ,daily during months of experiment,X,-,-,-,tubes in nests to count emergence in bees; abundance of P. vulgaris flowers,temperature,X (active look for flowers),X,-,-,emergence in bees,X,flowers,not monitored,not monitored,not monitored,not monitored,not monitored,abundance,-,-,"with warming temperatures early pollinator-dependent plants are at the risk to face pollinator limitation, with negative consequences for their reproductive success",
56,10.17660/ActaHortic.2018.1219.23,"Hayman PT,Thomas DS",2018,Gabriela ,Scopus,,OK,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,10.1890/10-1885.1,"Forrest JR,James DT",2011,Gabriela ,Scopus_WOS,Case study,OK,United States,"West Elk Mountains, Colorado",Not informed,Not informed,Northern,subalpine habitats,wasps and bees,25 species (2008); 27 species (2009) and 8 species (2010),6 pollinators,,3 years,May -July 2008/2009 (every 2–4 days);  August 2008/2009 (1–2 times per week) May-July (2010 - weekly),-,-,X,-,3/4 100-m permanent belt transects at each site (14 sites),temperature,X,-,-,-,trap nests for pollinators,X,all flowered individuals of eight species AND number of flowers or capitula open,not monitored,not monitored,not monitored,not monitored,not monitored,all flowered individuals of eight species AND number of flowers or capitula open,not monitored,not monitored,Insects in our study showed no sign of local adaptation in timing of emergence; suggest a major effect of cool overwintering tempera- tures on phenology,
58,10.1890/14-0819.1,"Koenig WD,Knops JM,Carmen WJ,Pearse IS",2015,Gabriela ,Scopus_WOS,,OK,United States,Hastings Natural History Reservation,-,-,Northern,forest,not specified,1,1,84,2003-2012,weekly,-,-,X,-,examined all individuals with binoculars,microclimate,,,,,,X,,not monitored,not monitored,not monitored,-,X,X,-,-,,
59,10.3389/fevo.2021.679045,"Pelayo RC,Llambí LD,Gámez LE,Barrios YC,Ramirez LA,Torres JE,Cuesta F",2021,Gabriela ,Scopus_WOS,Case study,OK,Venezuela,Sierra de La Culata National Park,Not Informed,Not Informed,Southnern,shrubland-rosette páramo;,Not informed,55 species,19 families,Not informed,1 year (December 2017–November 2018),1-day visits between the last 2 weeks of each month,X,X,X,-,4/3 × 3 m permanent plots ,-,X (direct observation and binoculars),X,X,-, cameras next to the plants with more abundant flowering during each visit,X,counts in species with flowers,not monitored,not monitored,not monitored,X (presence/absence of plants with flowers of each species),not monitored,number of flowering ind,not monitored,not monitored,The interaction networks showed a high and significant specialization (H2) and connectance but a low degree of nestedness.,
60,10.3390/insects12060512,"Crowley LM,Sadler JP,Pritchard J,Hayward SA",2021,Gabriela ,Scopus_WOS,Review/Case study,OK,United Kingdom,"Birmingham Institute for Forest Research
Free-Air CO2 Enrichment",52◦47'58” N,2◦18'15” W,Northern,temperate woodland,Not informed,1,1,Each array contained a single patch of bluebells with a mean area of 3.5 m2 (SE,2017 (applicating treatment) - 2019 (monitoring),daily (with cameras) and weekly in person during the flowering period of 2019,X,-,-,-,3 experimental arrays fumigate 30 m diameter plots with 150 ppm above ambient CO2,CO2,X (in-person surveys),X,-,-,"trail cameras to monitor
the flowering phenology",X,flowers in bloom were counted,not monitored,not monitored,not monitored,not monitored,not monitored,flowers in bloom,not monitored,"first flowering date, mid-flowering date and flowering duration",patterns of earlier flowering under CO2 accompanied by lower pollinator activity during this period - loss of synchrony in pollination systems under future climate scenarios,
61,10.3390/plants10030461,"Arroyo MT,Tamburrino Í,Pliscoff P,Robles V,Colldecarrera M,Guerrero PC",2021,Gabriela ,Scopus,,OK,Chile,Farellones-Valle Nevado,33◦40?36?? S,70◦05?19?? S W,Southnern,alpine,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,10.1890/12-0255.1,"Mckinney AM,Caradonna PJ,Inouye DW,Barr B,Bertelsen CD,Waser NM",2012,Gabriela ,Scopus,Case study,OK,United States,"Finger Rock Canyon, Tucson",Not Informed,Not informed,Northern,pine–oak woodland,bird (hummingbirds),3,3,>10,1984-2010 (records of birds) - 2011 (phenology monitoring),every 2 days,-,-,X,-,2x2m permanent plots,temperature,X,X,-,-,-,X,flowers in bloom were counted,not monitored,not monitored,not monitored,presence of hummingbirds and flowers,not monitored,flowers in bloom,not monitored,First flowering and Peak flowering,migratory species may experience the greatest phenological mismatches at the poleward limits of their migration,
