Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Book title,Date published,ISBN,ISSN,URLs,DOI,PMID,Abstract,Keywords,Chapter,Pages cited
Journal Article,"Iler AM,Inouye DW,Høye TT,Miller-Rushing AJ,Burkle LA,Johnston EB",Maintenance of temporal synchrony between syrphid flies and floral resources despite differential phenological responses to climate,Global Change Biology,2013,19,8,2348-2359,,,2013,,1354-1013,http://dx.doi.org/10.1111/gcb.12246;https://www.ncbi.nlm.nih.gov/pubmed/23640772,10.1111/gcb.12246,23640772,"Variation in species' responses to abiotic phenological cues under climate change may cause changes in temporal overlap among interacting taxa, with potential demographic consequences. Here, we examine associations between the abiotic environment and plant-pollinator phenological synchrony using a long-term syrphid fly-flowering phenology dataset (1992-2011). Degree-days above freezing, precipitation, and timing of snow melt were investigated as predictors of phenology. Syrphids generally emerge after flowering onset and end their activity before the end of flowering. Neither flowering nor syrphid phenology has changed significantly over our 20-year record, consistent with a lack of directional change in climate variables over the same time frame. Instead we document interannual variability in the abiotic environment and phenology. Timing of snow melt was the best predictor of flowering onset and syrphid emergence. Snow melt and degree-days were the best predictors of the end of flowering, whereas degree-days and precipitation best predicted the end of the syrphid period. Flowering advanced at a faster rate than syrphids in response to both advancing snow melt and increasing temperature. Different rates of phenological advancements resulted in more days of temporal overlap between the flower-syrphid community in years of early snow melt because of extended activity periods. Phenological synchrony at the community level is therefore likely to be maintained for some time, even under advancing snow melt conditions that are evident over longer term records at our site. These results show that interacting taxa may respond to different phenological cues and to the same cues at different rates but still maintain phenological synchrony over a range of abiotic conditions. However, our results also indicate that some individual plant species may overlap with the syrphid community for fewer days under continued climate change. This highlights the role of interannual variation in these flower-syrphid interactions and shows that species-level responses can differ from community-level responses in nonintuitive ways. \textcopyright 2013 John Wiley & Sons Ltd.","Climate change,Hoverfly,Mismatch,Phenology,Pollinator,Rocky Mountain Biological Laboratory,Scopus,Synchrony,Syrphidae",,
Journal Article,"Bogdziewicz M,Hacket-Pain A,Kelly D,Thomas PA,Lageard J,Tanentzap AJ",Climate warming causes mast seeding to break down by reducing sensitivity to weather cues,Global Change Biology,2021,27,9,1952-1961,,,2021,,1365-2486,http://dx.doi.org/10.1111/gcb.15560;https://www.ncbi.nlm.nih.gov/pubmed/33604979,10.1111/gcb.15560,33604979,"Climate change is altering patterns of seed production worldwide with consequences for population recruitment and migration potential. For the many species that regenerate through synchronized, quasiperiodic reproductive events termed masting, these changes include decreases in the synchrony and interannual variation in seed production. This breakdown in the occurrence of masting features harms reproduction by decreasing the efficiency of pollination and increasing seed predation. Changes in masting are often paralleled by warming temperatures, but the underlying proximate mechanisms are unknown. We used a unique 39-year study of 139 European beech (Fagus sylvatica) trees that experienced masting breakdown to track the seed developmental cycle and pinpoint phases where weather effects on seed production have changed over time. A cold followed by warm summer led to large coordinated flowering efforts among plants. However, trees failed to respond to the weather signal as summers warmed and the frequency of reproductive cues changed fivefold. Less synchronous flowering resulted in less efficient pollination that further decreased the synchrony of seed maturation. As global temperatures are expected to increase this century, perennial plants that fine-tune their reproductive schedules based on temperature cues may suffer regeneration failures.","Scopus,mast seeding,phenology,pollen limitation,proximate mechanisms,reproduction,seed production,synchrony,warming",,
Journal Article,"Hayman PT,Thomas DS",A calendar to link almond phenology to climate risk,Acta Horticulturae,2018,1219,,137-142,,,2018,,2406-6168,http://dx.doi.org/10.17660/ActaHortic.2018.1219.23,10.17660/ActaHortic.2018.1219.23,,"There are a range of weather and climate risks for almond production. We used a phenology calendar, based on the layout of integrated pest management calendars to identify the weather and climate risks and the time of year that they occurred. These risks were ranked for economic severity based on likelihood of occurrence and likely economic loss. A total of 12 risks were identified that could be classified as being related to either temperature, rainfall and evapotranspiration, or wind and hail. Some risks encompassed several weather factors. For example, the risk of rain at harvest (ranked as most important risk), is related to excessive moisture caused by rain and insufficient drying which is best approximated by evapotranspiration, which is itself a complex relationship between elements including incoming solar radiation, wind, temperature and humidity. Other risks such as synchronicity of flowering between pollinators are related to both varieties accumulating their respective chill and heat requirements to flower at similar times. Risks could also be categorised as being related to either single weather events (e.g., rain at harvest, frost or heatwave) or of a longer nature (e.g., insufficient chill or seasonal drought). Workshops spanned the Australian almond growing region (Virginia, Renmark, Mildura and Griffith) and were an effective communication tool to commence discussions on risk management strategies in current and future climates.","Almond,Climate change,Climate risk,Phenology,Scopus",,
Journal Article,"Crowley LM,Sadler JP,Pritchard J,Hayward SA",Elevated co2 impacts on plant–pollinator interactions: A systematic review and free air carbon enrichment field study,Insects,2021,12,6,,,,2021,,2075-4450,http://dx.doi.org/10.3390/insects12060512,10.3390/insects12060512,,"The impact of elevated CO2 (eCO2) on plant–pollinator interactions is poorly understood. This study provides the first systematic review of this topic and identifies important knowledge gaps. In addition, we present field data assessing the impact of eCO2 (150 ppm above ambient) on bluebell (Hyacinthoides non-scripta)–pollinator interactions within a mature, deciduous woodland system. Since 1956, only 71 primary papers have investigated eCO2 effects on flowering time, floral traits and pollination, with a mere 3 studies measuring the impact on pollination interactions. Our field experiment documented flowering phenology, flower visitation and seed production, as well as the abundance and phenology of dominant insect pollinators. We show that first and mid-point flowering occurred 6 days earlier under eCO2, but with no change in flowering duration. Syrphid flies and bumble bees were the dominant flower visitors, with peak activity recorded during mid- and late-flowering periods. Whilst no significant difference was recorded in total visitation or seed set between eCO2 and ambient treatments, there were clear patterns of earlier flowering under eCO2 accompanied by lower pollinator activity during this period. This has implications for potential loss of synchrony in pollination systems under future climate scenarios, with associated long-term impacts on abundance and diversity.","Bees,Bluebells,Climate change,Hoverflies,Phenology,Pollination,Scopus",,
Journal Article,"Benadi G,Hovestadt T,Poethke HJ,Blüthgen N",Specialization and phenological synchrony of plant-pollinator interactions along an altitudinal gradient,Journal of Animal Ecology,2014,83,3,639-650,,,2014,,1365-2656,http://dx.doi.org/10.1111/1365-2656.12158;https://www.ncbi.nlm.nih.gov/pubmed/24219131,10.1111/1365-2656.12158,24219131,"One of the most noticeable effects of anthropogenic climate change is the shift in timing of seasonal events towards earlier occurrence. The high degree of variation in species' phenological shifts has raised concerns about the temporal decoupling of interspecific interactions, but the extent and implications of this effect are largely unknown. In the case of plant-pollinator systems, more specialized species are predicted to be particularly threatened by phenological decoupling, since they are assumed to be less flexible in the choice of interaction partners, but until now this hypothesis has not been tested. In this paper, we studied phenology and interactions of plant and pollinator communities along an altitudinal gradient in the Alps as a model for the possible effects of climate change in time. Our results show that even relatively specialized pollinators were much more flexible in their use of plant species as floral resources than their local flower visitation suggested. We found no relationship between local specialization of pollinators and the consistency of their visitation patterns across sites, and also no relationship between specialization and phenological synchrony of pollinators with particular plants. Thus, in contrast to the conclusions of a recent simulation study, our results suggest that most pollinator species included in this study are not threatened by phenological decoupling from specific flowering plants. However, the flexibility of many rarely observed pollinator species remains unknown. Moreover, our results suggest that specialized flower visitors select plant species based on certain floral traits such as the length of the nectar holder tube. If that is the case, the observed flexibility of plant-pollinator interactions likely depends on a high degree of functional redundancy in the plant community, which may not exist in less diverse systems. \textcopyright 2013 British Ecological Society.","Climate change,Ecological network,Elevation,Flowering,Mutualistic interaction,Phenological decoupling,Phenological mismatch,Phenological shift,Pollination,Scopus",,
Journal Article,"Schenk M,Krauss J,Holzschuh A",Desynchronizations in bee–plant interactions cause severe fitness losses in solitary bees,Journal of Animal Ecology,2018,87,1,139-149,,,2018,,1365-2656,http://dx.doi.org/10.1111/1365-2656.12694;https://www.ncbi.nlm.nih.gov/pubmed/28502082,10.1111/1365-2656.12694,28502082,"Global warming can disrupt mutualistic interactions between solitary bees and plants when increasing temperature differentially changes the timing of interacting partners. One possible scenario is for insect phenology to advance more rapidly than plant phenology. However, empirical evidence for fitness consequences due to temporal mismatches is lacking for pollinators and it remains unknown if bees have developed strategies to mitigate fitness losses following temporal mismatches. We tested the effect of temporal mismatches on the fitness of three spring-emerging solitary bee species, including one pollen specialist. Using flight cages, we simulated (i) a perfect synchronization (from a bee perspective): bees and flowers occur simultaneously, (ii) a mismatch of 3 days and (iii) a mismatch of 6 days, with bees occurring earlier than flowers in the latter two cases. A mismatch of 6 days caused severe fitness losses in all three bee species, as few bees survived without flowers. Females showed strongly reduced activity and reproductive output compared to synchronized bees. Fitness consequences of a 3-day mismatch were species-specific. Both the early-spring species Osmia cornuta and the mid-spring species Osmia bicornis produced the same number of brood cells after a mismatch of 3 days as under perfect synchronization. However, O. cornuta decreased the number of female offspring, whereas O. bicornis spread the brood cells over fewer nests, which may increase offspring mortality, e.g. due to parasitoids. The late-spring specialist Osmia brevicornis produced fewer brood cells even after a mismatch of 3 days. Additionally, our results suggest that fitness losses after temporal mismatches are higher during warm than cold springs, as the naturally occurring temperature variability revealed that warm temperatures during starvation decreased the survival rate of O. bicornis. We conclude that short temporal mismatches can cause clear fitness losses in solitary bees. Although our results suggest that bees have evolved species-specific strategies to mitigate fitness losses after temporal mismatches, the bees were not able to completely compensate for impacts on their fitness after temporal mismatches with their food resources.","Scopus,conditional sex allocation,emergence,mitigation strategies,mutualism,phenological shift,pollination,species interactions",,
Journal Article,"Bolmgren K,Eriksson O","Are mismatches the norm? Timing of flowering, fruiting, dispersal and germination and their fitness effects in Frangula alnus (Rhamnaceae)",Oikos,2015,124,5,639-648,,,2015,,1600-0706,http://dx.doi.org/10.1111/oik.01491,10.1111/oik.01491,,"The close morphological and temporal links between phases of plant growth and reproduction call for integrated studies incorporating several reproductive phases from flowering to recruitment, and associated plant-animal interactions. Phenological strategies, as well as plastic phenological response to climate change, incorporate complex interactions between developmental constraints, pollination and seed dispersal. Relationships between reproductive phenology and components of fitness were studied for two years in the north-temperate, self-incompatible, insect-pollinated, and bird-dispersed shrub Frangula alnus (Rhamnaceae). Fruit set, dispersal, germination and juvenile survival, as well as seed mass and juvenile size were measured in relation to flowering, fruiting and germination time. The results suggest that effects of flowering and fruiting time prevailed in subsequent phases, to some extent as far as to the juvenile phase, but effects of timing were complex and had partly opposing effects on different fitness components. Early flowers had higher fruit-set and experiments indicated that synchronous peak flowering increased fruit-set, but later flowers had higher seed mass. Peak fruiting was not associated with peak dispersal. Late fruits derived from late flowers promoted dispersal. Juvenile recruitment was enhanced by increasing seed size. We conclude that the phenology of flowering and fruiting in F. alnus comprises several features, each with different and sometimes counteracting effects on fitness components. From a general perspective, this result implies that we should not expect to find finely tuned matches in timing specifically between flowering and pollinators, and fruiting and seed dispersing birds.",Scopus,,
Journal Article,"Arroyo MT,Tamburrino Í,Pliscoff P,Robles V,Colldecarrera M,Guerrero PC",Flowering phenology adjustment and flower longevity in a South American alpine species,Plants,2021,10,3,23-Jan,,,2021,,2223-7747,http://dx.doi.org/10.3390/plants10030461,10.3390/plants10030461,,"Delayed flowering due to later snowmelt and colder temperatures at higher elevations in the alpine are expected to lead to flowering phenological adjustment to prevent decoupling of peak flowering from the warmest time of the year, thereby favoring pollination. However, even if flowering is brought forward in the season at higher elevations, an elevational temperature gap is likely to remain between the high-and low-elevation populations of a species at the time these reach peak flowering on account of the atmospheric reduction in temperature with increasing elevation. The negative effect of this temperature gap on pollination could be compensated by plastically-pro-longed flower life spans at higher elevations, increasing the probability of pollination. In a tightly temperature-controlled study, the flowering phenology adjustment and flower longevity compensation hypotheses were investigated in an alpine species in the Andes of central Chile. The snow free period varied from 7 to 8.2 months over 810 m elevation. Temperatures were suitable for growth on 82–98% of the snow free days. Flowering onset was temporally displaced at the rate of 4.6 d per 100 m increase in elevation and flowering was more synchronous at higher elevations. Flowering phenology was adjusted over elevation. The latter was manifest in thermal sums tending to decrease with elevation for population flowering onset, 50% flowering, and peak flowering when the lower thermal limit for growth (TBASE) was held constant over elevation. For TBASE graded over elevation so as to reflect the growing season temperature decline, thermal sums did not vary with elevation, opening the door to a possible elevational decline in the thermal temperature threshold for growth. Potential flower longevity was reduced by passive warming and was more prolonged in natural populations when temperatures were lower, indicating a plastic trait. Pollination rates, as evaluated with the Relative Pollination Rate index (RPR), when weighted for differences in floral abundance over the flowering season, declined with elevation as did fruit set. Contrary to expectation, the life-spans of flowers at higher elevations were not more prolonged and failed to compensate for the elevational decrease in pollination rates. Although strong evidence for phenological adjustment was forthcoming, flower longevity compensation did not occur over Oxalis squamata´s elevational range. Thus, flower longevity compensation is not applicable in all alpine species. Comparison with work conducted several decades ago on the same species in the same area provides valuable clues regarding the effects of climate change on flowering phenology and fitness in the central Chilean alpine where temperatures have been increasing and winter snow accumulation has been declining.","Alpine,Flower longevity,Flowering phenology,Growing season,Oxalis squamata,Relative Pollination Rate index,Scopus,South American Andes,TBASE,Thermal growth threshold",,
Journal Article,"Welt RS,Litt A,Franks SJ",Analysis of population genetic structure and gene flow in an annual plant before and after a rapid evolutionary response to drought,AoB PLANTS,2015,7,1,11-Jan,,,2015,,2041-2851,http://dx.doi.org/10.1093/aobpla/plv026,10.1093/aobpla/plv026,,"The impact of environmental change on population structure is not well understood. This study aimed to examine the effect of a climate change event on gene flow over space and time in two populations of Brassica rapa that evolvedmore synchronous flowering times over 5 years of drought in southern California. Using plants grown fromseeds collected before and after the drought, we estimated genetic parameters within and between populations and across generations.We expected that with greater temporal opportunity to cross-pollinate, due to reduced phenological isolation, these populationswould exhibit an increase in gene flowfollowing the drought.We found lowbut significant FST, but no change in FST or Nm across the drought, in contrast to predictions. Bayesian analysis of these data indicates minor differentiation between the two populations but no noticeable change in structure before and after the shift in flowering times. However,we found high and significant levels of FIS, indicating that inbreeding likely occurred in these populations despite self-incompatibility in B. rapa. In this system, we did not find an impact of climate change on gene flow or population structuring. The contribution of gene flow to adaptive evolution may vary by system, however, and is thus an important parameter to consider in further studies of natural responses to environmental change.","Brassica rapa,Climate change,Drought,Gene flow,Phenological isolation,Population structure,Resurrection study,Scopus",,
Journal Article,"Steltzer H,Landry C,Painter TH,Anderson J,Ayres E",Biological consequences of earlier snowmelt from desert dust deposition in alpine landscapes,Proceedings of the National Academy of Sciences of the United States of America,2009,106,28,11629-11634,,,2009,,0027-8424,http://dx.doi.org/10.1073/pnas.0900758106;https://www.ncbi.nlm.nih.gov/pubmed/19564599,10.1073/pnas.0900758106,19564599,"Dust deposition to mountain snow cover, which has increased since the late 19th century, accelerates the rate of snowmelt by increasing the solar radiation absorbed by the snowpack. Snowmelt occurs earlier, but is decoupled from seasonal warming. Climate warming advances the timing of snowmelt and early season phenological events (e.g., the onset of greening and flowering); however, earlier snowmelt without warmer temperatures may have a different effect on phenology. Here, we report the results of a set of snowmelt manipulations in which radiation-absorbing fabric and the addition and removal of dust from the surface of the snowpack advanced or delayed snowmelt in the alpine tundra. These changes in the timing of snowmelt were superimposed on a system where the timing of snowmelt varies with topography and has been affected by increased dust loading. At the community level, phenology exhibited a threshold response to the timing of snowmelt. Greening and flowering were delayed before seasonal warming, after which there was a linear relationship between the date of snowmelt and the timing of phenological events. Consequently, the effects of earlier snowmelt on phenology differed in relation to topography, which resulted in increasing synchronicity in phenology across the alpine landscape with increasingly earlier snowmelt. The consequences of earlier snowmelt from increased dust deposition differ from climate warming and include delayed phenology, leading to synchronized growth and flowering across the landscape and the opportunity for altered species interactions, landscape-scale gene flow via pollination, and nutrient cycling.","Climate warming,Phenology,Plant life history,Scopus,Synchronization,Threshold",,
Journal Article,"Flo V,Bosch J,Arnan X,Primante C,Martín González AM,Barril-Graells H,Rodrigo A",Yearly fluctuations of flower landscape in a Mediterranean scrubland: Consequences for floral resource availability,PLoS ONE,2018,13,1,14-Jan,,,2018,,1932-6203,http://dx.doi.org/10.1371/journal.pone.0191268;https://www.ncbi.nlm.nih.gov/pubmed/29346453,10.1371/journal.pone.0191268,29346453,"Species flower production and flowering phenology vary from year to year due to extrinsic factors. Inter-annual variability in flowering patterns may have important consequences for attractiveness to pollinators, and ultimately, plant reproductive output. To understand the consequences of flowering pattern variability, a community approach is necessary because pollinator flower choice is highly dependent on flower context. Our objectives were: 1) To quantify yearly variability in flower density and phenology; 2) To evaluate whether changes in flowering patterns result in significant changes in pollen/nectar composition. We monitored weekly flowering patterns in a Mediterranean scrubland community (23 species) over 8 years. Floral resource availability was estimated based on field measures of pollen and nectar production per flower. We analysed inter-annual variation in flowering phenology (duration and date of peak bloom) and flower production, and inter-annual and monthly variability in flower, pollen and nectar species composition. We also investigated potential phylogenetic effects on inter-annual variability of flowering patterns. We found dramatic variation in yearly flower production both at the species and community levels. There was also substantial variation in flowering phenology. Importantly, yearly fluctuations were far from synchronous across species, and resulted in significant changes in floral resources availability and composition at the community level. Changes were especially pronounced late in the season, at a time when flowers are scarce and pollinator visitation rates are particularly high. We discuss the consequences of our findings for pollinator visitation and plant reproductive success in the current scenario of climate change.",Scopus,,
Journal Article,"Kudo G,Cooper EJ",When spring ephemerals fail to meet pollinators: Mechanism of phenological mismatch and its impact on plant reproduction,Proceedings of the Royal Society B: Biological Sciences,2019,286,1904,,,,2019,,1471-2954,http://dx.doi.org/10.1098/rspb.2019.0573;https://www.ncbi.nlm.nih.gov/pubmed/31185863,10.1098/rspb.2019.0573,31185863,"The flowering phenology of early-blooming plants is largely determined by snowmelt timing in high-latitude and high-altitude ecosystems. When the synchrony of flowering and pollinator emergence is disturbed by climate change, seed production may be restricted due to insufficient pollination success. We revealed the mechanism of phenological mismatch between a spring ephemeral (Corydalis ambigua) and its pollinator (overwintered bumblebees), and its impact on plant reproduction, based on 19 years of monitoring and a snow removal experiment in a cool-temperate forest in northern Japan. Early snowmelt increased the risk of phenological mismatch under natural conditions. Seed production was limited by pollination success over the 3 years of the pollination experiment and decreased when flowering occurred prior to bee emergence. Similar trends were detected on modification of flowering phenology through snow removal. Following snowmelt, the length of the pre-flowering period strongly depended on the ambient surface temperature, ranging from 4 days (at greater than 78C) to 26 days (at 2.58C). Flowering onset was explained with an accumulated surface degree-day model. Bumblebees emerged when soil temperature reached 68C, which was predictable by an accumulated soil degree-day model, although foraging activity after emergence might depend on air temperature. These results indicate that phenological mismatch tends to occur when snow melts early but subsequent soil warming progresses slowly. Thus, modification of the snowmelt regime could be a major driver disturbing spring phenology in northern ecosystems.","Bombus,Global warming,Phenological mismatch,Pollinator,Scopus,Snowmelt,Spring ephemeral",,
Journal Article,Thomson JD,"Flowering phenology, fruiting success and progressive deterioration of pollination in an early-flowering geophyte",Philosophical Transactions of the Royal Society B: Biological Sciences,2010,365,1555,3187-3199,,,2010,,1471-2970,http://dx.doi.org/10.1098/rstb.2010.0115,10.1098/rstb.2010.0115,,"Spatio-temporal patterns of snowmelt and flowering times affect fruiting success in Erythronium grandiflorum Pursh (Liliaceae) in subalpine western Colorado, USA. From 1990 to 1995, I measured the consistency across years of snowmelt patterns and flowering times along a permanent transect. In most years since 1993, I have monitored fruit set in temporal cohorts (early-to late-flowering groups of plants) at one site. To assess 'pollination limitation', I have also conducted supplemental hand-pollination experiments at various times through the blooming season. The onset of blooming is determined by snowmelt, with the earliest years starting a month before the latest years owing to variation in winter snowpack accumulation. Fruit set is diminished or prevented entirely by killing frosts in some years, most frequently but not exclusively for the earlier cohorts. When frosts do not limit fruit set, pollination limitation is frequent, especially in the earlier cohorts. Pollination limitation is strongest for middle cohorts: it tends to be negated by frost in early cohorts and ameliorated by continuing emergence of bumble-bee queens in later cohorts. This lily appears to be poorly synchronized with its pollinators. Across the years of the study, pollination limitation appears to be increasing, perhaps because the synchronization is getting worse. \textcopyright 2010 The Royal Society.","Bombus,Climate change,Erythronium,Frost,Phenological synchrony,Pollinator decline,Scopus",,
Journal Article,"Nürnberger F,Härtel S,Steffan-Dewenter I",Seasonal timing in honey bee colonies: phenology shifts affect honey stores and varroa infestation levels,Oecologia,2019,189,4,1121-1131,Springer Berlin Heidelberg,,2019,,0029-8549,https://doi.org/10.1007/s00442-019-04377-1;http://dx.doi.org/10.1007/s00442-019-04377-1;https://www.ncbi.nlm.nih.gov/pubmed/30879141,10.1007/s00442-019-04377-1,30879141,"Increasingly frequent warm periods during winter, which are associated with climate change, may cause mismatches between the colony phenology of the western honey bee, Apis mellifera L., and their floral resources. Warmer winter periods can also affect colony brood rearing activity and consequently the reproduction of the invasive brood parasite Varroa destructor Anderson and Trueman. Until now little is known about the effects of climate change on biotic interactions in such a multitrophic system comprising flowering plants, a pollinator, and its parasite. We performed a reciprocal translocation experiment with honey bee colonies to simulate climate change-induced phenology shifts. Honey bee brood phenology was highly sensitive to environmental conditions in late winter. Colonies in which phenology was experimentally delayed had smaller worker populations in early spring and reduced amounts of stored honey during the following months. During summer, the varroa load in colonies with non-shifted phenology was three times higher than in colonies with delayed phenology. High varroa loads during summer were negatively correlated with worker population growth. Despite a remarkable resilience of colony development to phenology shifts, our results show that mismatches between the phenology of honey bee colonies and flowering plants can affect the build-up of resource stores. Further, an advanced onset of brood rearing activity after hibernation can reinforce the negative impact of the brood parasite V. destructor. We conclude that trade-offs between synchronisation with earlier flower phenology and prolonged brood phases with build-up of varroa populations might constrain the honey bees' capability to adapt to climate warming.","Apis mellifera,Climate change,Phenological mismatch,Scopus,Tri-trophic interactions,Varroa destructor",,
Journal Article,"Park IW,Schwartz MD",Long-term herbarium records reveal temperature-dependent changes in flowering phenology in the southeastern USA,International Journal of Biometeorology,2015,59,3,347-355,,,2015,,1432-1254,http://dx.doi.org/10.1007/s00484-014-0846-0;https://www.ncbi.nlm.nih.gov/pubmed/24842521,10.1007/s00484-014-0846-0,24842521,"In recent years, a growing body of evidence has emerged indicating that the relationship between flowering phenology and climate may differ throughout various portions of the growing season. These differences have resulted in long-term changes in flowering synchrony that may alter the quantity and diversity of pollinator attention to many species, as well as altering food availability to pollenivorous and nectarivorous animal species. However, long-term multi-season records of past flowering timing have primarily focused on temperate environments. In contrast, changes in flowering phenology within humid subtropical environments such as the southeastern USA remain poorly documented. This research uses herbarium-based methods to examine changes in flowering time across 19,328 samples of spring-, summer-, and autumn-flowering plants in the southeastern USA from the years 1951 to 2009. In this study, species that flower near the onset of the growing season were found to advance under increasing mean March temperatures (−3.391 days/°C, p = 0.022). No long-term advances in early spring flowering or spring temperature were detected during this period, corroborating previous phenological assessments for the southeastern USA. However, late spring through mid-summer flowering exhibited delays in response to higher February temperatures (over 0.1.85 days/°C, p ≤ 0.041 in all cases). Thus, it appears that flowering synchrony may undergo significant restructuring in response to warming spring temperatures, even in humid subtropical environments.","Climate change,Flowering,Herbarium,Phenology,Scopus,Southeastern USA",,
Journal Article,"Peters VE,Carroll CR",Temporal variation in coffee flowering may influence the effects of bee species richness and abundance on coffee production,Agroforestry Systems,2012,85,1,95-103,,,2012,,0167-4366,http://dx.doi.org/10.1007/s10457-011-9476-2,10.1007/s10457-011-9476-2,,"Accurately estimating the contribution of pollinators to production in crop species is important but could be challenging for species that are widely cultivated. One factor that may influence the pollinator-production relationship across regions is phenology, or the timing of recurring biological events, because crop phenology can be proximately controlled by climatic variables and phenology can affect plant reproductive success. For the economically important crop, coffee (Coffea arabica), at least three aspects of flowering phenology (onset, density and frequency) are influenced by precipitation, which varies across coffee's cultivated range. Of these aspects of flowering phenology, flower density may particularly impact production in coffee because high-density flowering can severely limit outcrossing which is a major contributor to high yields and larger, high quality beans. We studied the C. arabica coffee plant-pollinator interaction over 3 years and across two distinct types of coffee blooms: (1) low-density, synchronous flowering and (2) high-density, synchronous (mass) flowering. Bee species richness was similar for four out of five flowering periods (9.8 ± 2.7 95% CI), but nearly tripled during one high-density flowering period (26 ± 8.6 95% CI). During low-density flowering coffee fruit set rates were varied, but when coffee flowered at high-density, initial fruit set rates remained close to 60% (the rate obtained from manual self-pollination of coffee flowers in pollination experiments). We discuss how changing precipitation patterns may alter coffee flowering phenology and the coffee plant-pollinator relationship, providing insight into how climate change may influence this interaction as well as the resultant coffee production. \textcopyright 2012 Springer Science+Business Media B.V.","Agroforestry,Bees,Climate,Phenology,Scopus,Shade-coffee",,
Journal Article,"Fagan WF,Bewick S,Cantrell S,Cosner C,Varassin IG,Inouye DW",Phenologically explicit models for studying plant-pollinator interactions under climate change,Theoretical Ecology,2014,7,3,289-297,,,2014,,1874-1746,http://dx.doi.org/10.1007/s12080-014-0218-8,10.1007/s12080-014-0218-8,,"Climate change is significantly influencing phenology. One potential effect is that historically interacting partners will respond to climate change at different rates, creating the potential for a phenological mismatch among previously synchronized interacting species, or even sexes of the same species. Focusing on plant demographics in a plant-pollinator interaction, we develop a hybrid dynamical model that uses a ""non-autonomous"" differential equation system (Zonneveld model) for within-season dynamics and discrete equations for season-to-season dynamics. Our model outlines how and when changes in the relative phenologies of an interacting species pair will alter the demographic outcome of the interaction. For our plant-pollinator system, we find that plant population growth rates are particularly sensitive to phenology mismatch when flowers are short-lived, when pollinators are short-lived, or when flowers and pollinators exhibit high levels of within-population synchrony in emergence or arrival dates. More generally, our aim is to introduce the use of hybrid dynamical models as a framework through which researchers can directly explore the demographic consequences of climatically driven phenological change. \textcopyright 2014 Springer Science+Business Media Dordrecht.","Allee effect,Flower senescence,Non-autonomous ordinary differential equation,Phenology,Pollinator emigration,Scopus,Temporal match-mismatch hypothesis,Zonneveld equation",,
Journal Article,"Liu H,Feng CL,Luo YB,Chen BS,Wang ZS,Gu HY",Potential challenges of climate change to orchid conservation in a Wild Orchid Hotspot in Southwestern China,Botanical Review,2010,76,2,174-192,,,2010,,0006-8101,http://dx.doi.org/10.1007/s12229-010-9044-x,10.1007/s12229-010-9044-x,,"Southwestern China including Guangxi Province is one of nine world hotspots for orchid. Warming in the region in the past century was around 0.5°C, slightly lower than the global average of 0.7°C, while rainfall has remained the same. It is projected that the warming trend will continue for the next two centuries, while precipitation will increase slightly, and soil moisture level will decrease. We identify a number of threats due to climate changes to orchid community in the Yachang Orchid Nature Reserve in Guangxi (hereafter refer to as Yachang Reserve), a good representative of the region. Firstly, decreased soil moisture is likely to have a negative effect on growth and survival of orchids, especially terrestrial and saprophytic ones. Sixty eight (50%) orchid species in the Yachang Reserve are in this category. Secondly, the greater majority of the orchids in Yachang Reserve (72%) have populations on or close to the limestone mountain tops. These populations are likely to shrink or even become extinct as the warming continues because they have no higher places to which they are able to migrate. Natural poleward migration is unlikely for these populations because of the complex terrain, small size of the reserve and human-dominated surroundings. Species with narrow distributions (14%) and/or small population sizes (46%) will be the most vulnerable. In addition, populations represent the southern limit of the species (24%) are also prone to local extinction. Thirdly, extreme rainfall events are projected to occur more frequently, which can exacerbate erosion. This may impact orchid populations that grow on steep cliffs. Fifty seven species (42%) of the orchids in Yachang have cliff populations. Fourthly, the majority of orchid species have specialized insect pollination systems. It is unknown whether the change or lack of change in plant phenology will be in synchrony with the potential phenological shifts of their pollinators. Fifty four (40%) orchid species in Yachang Reserve flower in the spring and are potentially subject to this threat. Finally, mycorrhizal fungi are vital for seed germination for all orchids and important for post-seedling growth for some species. Yet there is a lack of knowledge of the nature of mycorrhiza on all orchids in the region, and little is known on the responses of these vital symbiotic relationships to temperature and soil moisture. Overall, 15% of the orchid species and a quarter of the genera bear high risk of population reduction or local extinction under the current projection of climate change. While studies on predicting and documenting the consequences of climate change on biodiversity are increasing, few identified the actual mechanisms through which climate change will affect individual species. Our study provides a unique perspective by identifying specific threats to a plant community. \textcopyright The New York Botanical Garden 2010.","Biodiversity,Climate Change,Global Change,Nature Reserve,Orchids,Phenology,Plant Conservation,Rare Species,Scopus",,
